Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-08,93.823,93.823,91.754,91.825,1097700,0.0,0.0
2022-06-09,91.584,91.941,88.712,88.766,1206400,0.0,0.0
2022-06-10,87.972,89.354,87.428,88.578,1712800,0.0,0.0
2022-06-13,87.811,87.927,84.85,85.251,1611800,0.0,0.0
2022-06-14,85.144,85.581,81.309,82.103,1611300,0.0,0.0
2022-06-15,82.656,83.236,80.926,81.951,1720700,0.0,0.0
2022-06-16,80.952,81.666,79.739,81.354,2024000,0.0,0.0
2022-06-17,81.746,81.782,79.57,80.604,2633700,0.0,0.0
2022-06-21,80.676,82.478,80.435,81.969,1752300,0.0,0.0
2022-06-22,81.71,84.101,81.684,83.28,2061400,0.0,0.0
2022-06-23,83.664,85.18,83.575,85.037,1248700,0.0,0.0
2022-06-24,85.1,87.009,85.1,86.661,1808300,0.0,0.0
2022-06-27,87.0,88.578,86.411,88.552,1833500,0.0,0.0
2022-06-28,88.605,89.328,88.355,88.409,1462500,0.0,0.0
2022-06-29,88.596,88.908,88.07,88.578,948100,0.0,0.0
2022-06-30,88.346,90.781,88.159,89.765,2106200,0.0,0.0
2022-07-01,90.139,91.718,89.64,91.495,1610500,0.0,0.0
2022-07-05,91.566,91.656,86.946,88.177,1394700,0.0,0.0
2022-07-06,88.65,90.835,88.462,90.318,1515000,0.0,0.0
2022-07-07,90.3,90.514,88.587,89.024,1462900,0.0,0.0
2022-07-08,89.096,89.212,88.445,88.757,919300,0.0,0.0
2022-07-11,88.436,90.05,88.364,89.702,893000,0.0,0.0
2022-07-12,89.221,90.746,88.98,89.604,1036000,0.0,0.0
2022-07-13,89.114,90.157,88.757,89.31,915300,0.0,0.0
2022-07-14,87.749,89.488,87.57,89.292,868200,0.0,0.0
2022-07-15,89.809,89.988,88.525,89.863,1174600,0.0,0.0
2022-07-18,89.417,89.56,87.999,88.132,948700,0.0,0.0
2022-07-19,88.623,89.042,88.052,88.364,1382900,0.0,0.0
2022-07-20,87.874,88.052,85.59,85.742,2136300,0.0,0.0
2022-07-21,85.626,85.965,85.367,85.831,1302700,0.0,0.0
2022-07-22,86.295,87.321,86.233,87.285,917400,0.0,0.0
2022-07-25,87.017,88.302,86.902,88.266,880000,0.0,0.0
2022-07-26,87.909,89.854,87.909,89.774,1059700,0.0,0.0
2022-07-27,89.363,89.854,88.971,89.613,1051700,0.0,0.0
2022-07-28,90.46,92.137,90.175,91.87,1240800,0.0,0.0
2022-07-29,91.682,93.065,91.682,92.592,1269300,0.0,0.0
2022-08-01,92.271,93.083,91.763,92.663,1312000,0.0,0.0
2022-08-02,93.02,93.984,92.298,92.449,1317100,0.0,0.0
2022-08-03,92.182,93.199,90.398,92.833,1274000,0.0,0.0
2022-08-04,92.949,93.689,92.235,92.628,1336300,0.0,0.0
2022-08-05,92.512,92.69,90.773,91.977,1061900,0.0,0.0
2022-08-08,92.512,93.047,92.119,92.735,1325400,0.0,0.0
2022-08-09,93.234,94.091,92.886,93.85,624900,0.0,0.0
2022-08-10,94.019,94.207,93.011,93.805,982500,0.0,0.0
2022-08-11,93.857,94.621,93.085,93.705,994000,0.728,0.0
2022-08-12,94.199,94.908,93.893,94.881,1257400,0.0,0.0
2022-08-15,95.016,95.627,94.252,95.456,865200,0.0,0.0
2022-08-16,95.357,96.426,95.357,96.112,872100,0.0,0.0
2022-08-17,95.824,96.929,95.824,96.076,1000800,0.0,0.0
2022-08-18,96.201,96.534,95.348,96.462,789500,0.0,0.0
2022-08-19,96.731,97.18,96.21,96.722,922800,0.0,0.0
2022-08-22,96.363,96.947,95.663,95.905,1060700,0.0,0.0
2022-08-23,95.932,95.932,94.504,95.16,810400,0.0,0.0
2022-08-24,95.204,95.519,94.486,95.088,688100,0.0,0.0
2022-08-25,95.267,95.483,94.477,95.402,930900,0.0,0.0
2022-08-26,95.186,95.806,94.073,94.118,961700,0.0,0.0
2022-08-29,93.893,95.097,93.184,94.468,703700,0.0,0.0
2022-08-30,94.324,94.746,92.69,92.932,964300,0.0,0.0
2022-08-31,92.717,93.705,92.6,92.636,1694300,0.0,0.0
2022-09-01,92.878,94.369,92.456,93.992,1629600,0.0,0.0
2022-09-02,94.163,94.809,92.133,92.519,847600,0.0,0.0
2022-09-06,92.851,93.839,92.223,92.564,1507300,0.0,0.0
2022-09-07,93.175,95.618,93.103,95.402,1397100,0.0,0.0
2022-09-08,95.231,95.941,94.872,95.213,1365100,0.0,0.0
2022-09-09,95.591,95.914,94.657,95.6,949900,0.0,0.0
2022-09-12,95.77,96.642,95.465,96.318,1020000,0.0,0.0
2022-09-13,95.645,95.878,92.86,93.229,1523300,0.0,0.0
2022-09-14,93.139,94.693,93.067,93.803,972000,0.0,0.0
2022-09-15,93.085,93.085,90.453,90.768,1870500,0.0,0.0
2022-09-16,91.01,91.594,90.588,90.974,2696300,0.0,0.0
2022-09-19,90.83,91.872,90.292,91.863,821500,0.0,0.0
2022-09-20,91.414,91.414,90.031,90.678,1180200,0.0,0.0
2022-09-21,91.324,92.052,89.717,89.753,1177500,0.0,0.0
2022-09-22,89.636,90.417,89.025,89.95,880300,0.0,0.0
2022-09-23,89.313,89.663,88.208,89.429,1068500,0.0,0.0
2022-09-26,89.079,89.169,86.591,87.31,1192000,0.0,0.0
2022-09-27,87.669,87.75,84.831,85.118,1301000,0.0,0.0
2022-09-28,86.268,86.546,84.795,85.9,1805800,0.0,0.0
