Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-14,87.933,88.369,86.636,86.747,3421700,0.0,0.0
2021-09-15,86.439,87.438,86.055,87.105,2795800,0.0,0.0
2021-09-16,87.498,87.771,86.465,86.576,3219100,0.0,0.0
2021-09-17,86.226,86.721,85.005,85.09,6699200,0.0,0.0
2021-09-20,84.766,85.637,84.117,85.065,4907800,0.0,0.0
2021-09-21,85.304,85.773,84.373,84.45,3274900,0.0,0.0
2021-09-22,84.732,84.911,83.818,84.126,2732900,0.0,0.0
2021-09-23,84.185,84.902,83.835,84.006,2419900,0.0,0.0
2021-09-24,83.878,84.587,83.571,84.057,3010800,0.0,0.0
2021-09-27,84.049,84.996,83.238,83.349,2772800,0.0,0.0
2021-09-28,83.195,83.545,82.452,82.854,3126800,0.0,0.0
2021-09-29,82.854,84.544,82.768,83.955,3299000,0.0,0.0
2021-09-30,84.109,84.262,83.289,83.315,2962300,0.0,0.0
2021-10-01,83.835,84.416,83.332,84.057,4598500,0.0,0.0
2021-10-04,84.228,86.251,84.1,86.021,4645600,0.0,0.0
2021-10-05,86.123,86.209,85.329,85.517,3411500,0.0,0.0
2021-10-06,85.312,87.003,84.732,86.951,2794800,0.0,0.0
2021-10-07,87.011,87.558,86.106,86.192,2020000,0.0,0.0
2021-10-08,86.226,86.499,85.722,85.825,1745000,0.0,0.0
2021-10-11,85.526,85.995,84.817,85.124,1659700,0.0,0.0
2021-10-12,85.244,85.85,85.013,85.218,2426000,0.0,0.0
2021-10-13,85.235,86.012,84.561,85.97,1798800,0.0,0.0
2021-10-14,86.32,86.986,86.021,86.781,3045600,0.0,0.0
2021-10-15,86.866,87.071,85.457,85.671,2593400,0.0,0.0
2021-10-18,85.244,85.526,84.646,85.253,2057600,0.0,0.0
2021-10-19,85.671,86.414,85.483,86.337,1759000,0.0,0.0
2021-10-20,86.439,87.566,86.439,87.276,1892700,0.0,0.0
2021-10-21,87.412,87.959,87.225,87.933,2057800,0.0,0.0
2021-10-22,88.112,89.589,87.908,88.599,2430300,0.0,0.0
2021-10-25,88.522,88.531,87.609,87.797,1681600,0.0,0.0
2021-10-26,87.754,88.906,87.626,88.181,2298300,0.0,0.0
2021-10-27,88.488,88.633,87.634,87.728,1519200,0.0,0.0
2021-10-28,87.438,87.805,86.883,87.498,1973600,0.0,0.0
2021-10-29,87.284,87.899,86.738,87.088,2301300,0.0,0.0
2021-11-01,87.19,87.66,86.618,87.344,1606500,0.0,0.0
2021-11-02,87.617,87.771,86.653,87.464,2701100,0.0,0.0
2021-11-03,87.293,87.891,86.61,87.54,2062000,0.0,0.0
2021-11-04,87.412,87.805,85.261,86.243,3054500,0.0,0.0
2021-11-05,86.388,87.651,86.268,86.806,2127800,0.0,0.0
2021-11-08,86.977,87.071,85.807,86.584,3686700,0.0,0.0
2021-11-09,86.9,87.293,86.422,87.045,2876300,0.0,0.0
2021-11-10,87.308,87.851,86.8,87.601,1876700,0.985,0.0
2021-11-11,87.377,87.55,86.17,86.42,2002600,0.0,0.0
2021-11-12,86.42,86.636,85.843,86.101,2504100,0.0,0.0
2021-11-15,86.412,87.076,85.972,86.722,2362900,0.0,0.0
2021-11-16,86.662,86.869,85.308,85.412,3758800,0.0,0.0
2021-11-17,85.343,85.558,84.834,85.334,2368600,0.0,0.0
2021-11-18,84.981,85.05,84.463,84.8,2809800,0.0,0.0
2021-11-19,84.869,85.136,84.446,84.843,2986300,0.0,0.0
2021-11-22,84.912,86.679,84.757,86.42,3913900,0.0,0.0
2021-11-23,86.627,87.127,85.67,86.843,3174100,0.0,0.0
2021-11-24,87.058,87.231,86.136,86.36,2236800,0.0,0.0
2021-11-26,85.498,86.774,85.472,85.584,1805400,0.0,0.0
2021-11-29,86.136,86.627,85.438,86.395,2128900,0.0,0.0
2021-11-30,85.903,85.963,83.403,83.627,3873200,0.0,0.0
2021-12-01,83.998,85.343,83.257,83.291,2825600,0.0,0.0
2021-12-02,83.705,85.067,83.558,84.179,2956200,0.0,0.0
2021-12-03,84.567,86.162,83.886,86.101,3106800,0.0,0.0
2021-12-06,86.653,88.532,86.429,87.248,2972500,0.0,0.0
2021-12-07,86.963,87.541,86.636,87.213,4402500,0.0,0.0
2021-12-08,87.058,87.619,86.377,86.938,4819400,0.0,0.0
2021-12-09,87.101,87.17,85.567,86.446,4020800,0.0,0.0
2021-12-10,86.903,87.972,86.515,87.507,3039900,0.0,0.0
2021-12-13,87.498,89.334,87.455,88.825,3932500,0.0,0.0
2021-12-14,88.834,89.222,88.205,88.593,2825100,0.0,0.0
2021-12-15,88.627,89.748,88.627,89.498,3378800,0.0,0.0
2021-12-16,89.653,90.61,89.343,90.119,3066600,0.0,0.0
2021-12-17,90.041,90.662,88.205,88.825,7150200,0.0,0.0
2021-12-20,88.377,89.506,87.826,89.369,3678600,0.0,0.0
2021-12-21,89.653,90.075,88.515,88.808,2054600,0.0,0.0
2021-12-22,88.713,89.248,88.506,88.929,1588700,0.0,0.0
2021-12-23,89.032,89.558,88.731,88.765,1435100,0.0,0.0
2021-12-27,88.765,89.17,88.515,89.041,1269600,0.0,0.0
2021-12-28,89.188,90.17,89.188,90.144,1197400,0.0,0.0
2021-12-29,90.308,90.541,89.851,90.308,1176300,0.0,0.0
2021-12-30,90.343,90.55,89.756,90.334,1690700,0.0,0.0
2021-12-31,90.274,90.713,89.653,90.429,1945700,0.0,0.0
2022-01-03,90.437,90.437,88.808,89.213,3272700,0.0,0.0
2022-01-04,89.101,90.463,89.032,89.144,2558300,0.0,0.0
2022-01-05,89.222,90.446,89.196,89.343,2446600,0.0,0.0
2022-01-06,89.231,90.317,89.075,89.196,3944100,0.0,0.0
2022-01-07,88.627,90.489,88.153,90.084,2990100,0.0,0.0
2022-01-10,90.213,90.791,89.713,90.136,2683500,0.0,0.0
2022-01-11,90.153,90.256,88.386,88.989,2937300,0.0,0.0
2022-01-12,88.515,89.498,88.101,89.325,2226300,0.0,0.0
2022-01-13,89.256,90.084,88.963,89.782,2591200,0.0,0.0
2022-01-14,90.032,90.239,89.024,89.688,3425900,0.0,0.0
2022-01-18,89.075,89.438,87.705,87.817,3082000,0.0,0.0
2022-01-19,87.825,88.644,87.334,88.075,2460800,0.0,0.0
2022-01-20,87.972,89.248,87.92,88.196,2426800,0.0,0.0
2022-01-21,88.808,89.834,88.507,88.774,3453800,0.0,0.0
2022-01-24,89.325,89.636,86.42,88.429,5654600,0.0,0.0
2022-01-25,87.679,88.92,87.55,88.205,3336300,0.0,0.0
2022-01-26,88.084,89.05,87.239,87.886,3111000,0.0,0.0
2022-01-27,88.369,89.981,88.334,89.007,3384900,0.0,0.0
2022-01-28,88.955,90.317,88.619,90.282,2874200,0.0,0.0
2022-01-31,89.541,90.722,89.188,90.567,4306700,0.0,0.0
2022-02-01,90.127,90.584,88.265,89.179,3036300,0.0,0.0
2022-02-02,89.093,90.705,88.834,90.515,3391100,0.0,0.0
2022-02-03,90.705,91.17,90.256,90.886,2238900,0.0,0.0
2022-02-04,90.136,90.808,89.334,89.869,2217100,0.0,0.0
2022-02-07,89.774,90.36,89.093,89.946,3046600,0.0,0.0
2022-02-08,90.748,90.825,89.705,90.006,2298800,0.0,0.0
2022-02-09,90.3,90.696,89.843,90.265,2259800,0.0,0.0
2022-02-10,89.817,89.938,85.843,86.024,5918200,0.0,0.0
2022-02-11,86.291,86.946,85.826,85.989,3953500,0.0,0.0
2022-02-14,86.679,87.076,85.024,86.162,5284400,0.0,0.0
2022-02-15,86.317,87.162,85.145,85.601,3149200,0.0,0.0
2022-02-16,85.653,86.179,85.257,85.782,2955900,0.0,0.0
2022-02-17,85.735,86.335,84.916,85.961,2401800,0.985,0.0
2022-02-18,85.639,87.232,85.395,86.901,4505500,0.0,0.0
2022-02-22,87.067,87.276,85.822,86.588,3304900,0.0,0.0
2022-02-23,86.771,86.953,84.977,85.038,4055900,0.0,0.0
2022-02-24,84.829,84.994,83.131,84.489,4207800,0.0,0.0
2022-02-25,85.36,87.363,85.186,87.258,3326800,0.0,0.0
2022-02-28,86.379,87.519,86.187,87.424,3069400,0.0,0.0
2022-03-01,87.424,87.99,85.909,86.919,2448100,0.0,0.0
2022-03-02,87.014,88.155,86.84,87.755,2334300,0.0,0.0
2022-03-03,88.155,89.879,87.99,89.365,2607400,0.0,0.0
2022-03-04,89.209,91.742,89.156,91.646,3276600,0.0,0.0
2022-03-07,91.768,93.153,91.028,92.9,3611000,0.0,0.0
2022-03-08,92.952,93.553,91.707,91.829,3549800,0.0,0.0
2022-03-09,92.456,92.787,91.524,91.707,3293200,0.0,0.0
2022-03-10,91.089,92.656,90.932,92.456,2038500,0.0,0.0
2022-03-11,92.378,93.24,92.247,92.413,2229700,0.0,0.0
2022-03-14,93.205,93.771,92.064,92.552,2562900,0.0,0.0
2022-03-15,93.457,93.492,92.404,92.891,2113300,0.0,0.0
2022-03-16,93.179,93.179,90.697,92.265,2636500,0.0,0.0
2022-03-17,92.291,93.632,91.673,92.726,2675000,0.0,0.0
2022-03-18,92.552,93.092,91.046,91.464,4859200,0.0,0.0
2022-03-21,91.699,93.048,91.664,92.43,1987500,0.0,0.0
2022-03-22,92.961,93.118,91.298,92.456,2574900,0.0,0.0
2022-03-23,92.883,93.605,92.221,93.013,2617400,0.0,0.0
2022-03-24,92.787,94.102,92.639,93.571,2196500,0.0,0.0
2022-03-25,93.858,95.216,93.623,95.016,1703600,0.0,0.0
2022-03-28,94.903,95.808,94.25,95.808,2470300,0.0,0.0
2022-03-29,95.887,96.635,95.442,96.618,2461600,0.0,0.0
2022-03-30,96.644,97.079,96.122,97.062,1979300,0.0,0.0
2022-03-31,96.975,97.994,96.818,97.219,3280100,0.0,0.0
2022-04-01,97.253,98.298,96.252,98.229,2302500,0.0,0.0
2022-04-04,97.602,97.732,96.13,97.332,2265700,0.0,0.0
2022-04-05,97.515,99.378,97.497,97.967,2489200,0.0,0.0
2022-04-06,98.481,100.353,97.941,100.257,3413200,0.0,0.0
2022-04-07,100.118,100.318,98.777,100.005,2785900,0.0,0.0
2022-04-08,100.466,100.814,99.404,100.431,1678100,0.0,0.0
2022-04-11,100.527,100.963,99.073,99.456,2574200,0.0,0.0
2022-04-12,99.282,100.762,98.62,100.492,2509800,0.0,0.0
2022-04-13,100.571,100.91,99.604,100.222,2092300,0.0,0.0
2022-04-14,100.292,100.579,99.674,99.996,2719300,0.0,0.0
2022-04-18,100.37,100.841,98.899,99.465,1962500,0.0,0.0
2022-04-19,99.578,99.865,99.056,99.665,2018100,0.0,0.0
2022-04-20,100.553,100.884,100.275,100.501,2152900,0.0,0.0
2022-04-21,100.257,101.285,99.839,100.37,1865900,0.0,0.0
2022-04-22,100.275,100.518,99.378,99.5,3185600,0.0,0.0
2022-04-25,99.97,100.153,97.549,99.056,3743600,0.0,0.0
2022-04-26,99.091,100.849,98.69,98.821,3937200,0.0,0.0
2022-04-27,98.873,100.031,97.698,98.464,2483900,0.0,0.0
