Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-26,34.91,35.323,34.461,35.233,1913700,0.0,0.0
2023-05-30,35.404,35.611,35.081,35.206,2163400,0.0,0.0
2023-05-31,35.251,35.673,35.027,35.629,5176200,0.0,0.0
2023-06-01,35.638,36.114,35.099,36.006,1883900,0.0,0.0
2023-06-02,36.419,37.263,36.419,36.967,2390900,0.0,0.0
2023-06-05,36.823,37.308,36.769,36.994,1455100,0.0,0.0
2023-06-06,37.245,37.353,36.841,37.299,1448400,0.0,0.0
2023-06-07,37.488,38.089,37.155,37.937,1321800,0.0,0.0
2023-06-08,37.73,37.982,37.2,37.802,1677500,0.0,0.0
2023-06-09,37.982,38.359,37.847,38.215,1852700,0.0,0.0
2023-06-12,38.152,38.35,37.928,38.152,2096700,0.0,0.0
2023-06-13,37.892,38.422,37.757,38.278,3136000,0.0,0.0
2023-06-14,38.44,38.871,38.296,38.718,3406500,0.0,0.0
2023-06-15,38.727,38.799,38.314,38.646,1890500,0.0,0.0
2023-06-16,38.853,39.212,38.772,38.997,3779900,0.0,0.0
2023-06-20,38.997,38.997,38.404,38.521,2254000,0.0,0.0
2023-06-21,38.251,38.404,37.91,38.125,1703000,0.0,0.0
2023-06-22,38.188,38.233,36.742,37.012,1858000,0.0,0.0
2023-06-23,36.904,36.976,35.979,36.132,3926500,0.0,0.0
2023-06-26,36.006,37.344,36.006,37.263,1776700,0.0,0.0
2023-06-27,37.38,38.045,37.227,37.91,1916800,0.0,0.0
2023-06-28,37.82,38.233,37.506,37.883,2376900,0.0,0.0
2023-06-29,37.757,38.53,37.569,38.512,1900400,0.0,0.0
2023-06-30,38.925,39.095,38.036,38.583,2999300,0.0,0.0
2023-07-03,38.341,39.392,38.341,39.212,899200,0.0,0.0
2023-07-05,39.041,39.446,38.619,38.97,1729800,0.0,0.0
2023-07-06,38.422,39.05,37.712,38.934,1639100,0.0,0.0
2023-07-07,38.816,38.897,38.444,38.68,2176800,0.42,0.0
2023-07-10,38.544,38.798,38.281,38.734,1680000,0.0,0.0
2023-07-11,38.906,39.315,38.68,39.287,2195500,0.0,0.0
2023-07-12,39.532,39.922,39.169,39.169,1915500,0.0,0.0
2023-07-13,39.16,39.387,38.997,39.378,1392300,0.0,0.0
2023-07-14,39.206,39.414,39.024,39.333,1195600,0.0,0.0
2023-07-17,39.333,39.396,38.789,38.852,1386500,0.0,0.0
2023-07-18,38.852,38.879,38.29,38.462,1872300,0.0,0.0
2023-07-19,38.852,38.97,38.435,38.779,1559100,0.0,0.0
2023-07-20,38.807,39.07,38.362,39.07,1804800,0.0,0.0
2023-07-21,39.052,39.55,39.052,39.242,1925200,0.0,0.0
2023-07-24,39.36,39.605,39.124,39.206,1530300,0.0,0.0
2023-07-25,39.015,39.188,38.281,38.317,2135300,0.0,0.0
2023-07-26,38.326,38.77,38.108,38.553,1997600,0.0,0.0
2023-07-27,38.09,38.58,36.558,36.83,3656600,0.0,0.0
